138	1	1	1	1	1	1	1	1	1	1	%	%	%	%	%	%	%	%	%	%
139	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14	*	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3
140	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
142	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1
144	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	2	2	2	2
145	*	*	*	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
147	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
148	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
149	*	*	*	*	*	*	*	*	*	*	*	*	2	2	2	2	2	2	2	2
15	*	*	*	*	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
150	*	*	*	*	*	*	*	*	*	*	*	2	2	2	2	2	2	2	2	2
151	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
155	1	1	1	1	1	1	1	1	%	%	%	%	%	%	%	%	%	%	%	%
156	*	*	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
157	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
158	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
160	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
161	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
162	*	*	*	*	*	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
163	*	*	*	*	*	*	*	*	*	*	*	*	2	2	1	1	1	1	1	1
164	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
166	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	1	1
168	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	1	1	1	1	1
169	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	%	%	%
17	1	1	1	1	1	1	1	1	1	1	1	1	5	5	5	5	5	5	5	5
170	*	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
172	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
173	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	1	1	1
174	*	*	*	*	*	*	*	*	*	*	*	*	*	1	2	2	2	2	2	2
175	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
176	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	2
18	*	*	*	*	*	*	3	3	3	3	3	3	3	3	3	3	3	3	3	3
